state,primary_date,cand_party
ALABAMA,0012-03-13,
ALASKA,0012-03-06,0
ALASKA,0012-04-09,1
ARIZONA,0012-02-28,
ARKANSAS,0012-05-22,
CALIFORNIA,0012-06-05,
COLORADO,0012-02-07,0
COLORADO,0012-03-06,1
CONNECTICUT,0012-04-24,
DELAWARE,0012-04-24,
FLORIDA,0012-01-31,
GEORGIA,0012-03-06,
HAWAII,0012-03-07,0
HAWAII,0012-03-13,1
IDAHO,0012-03-06,0
IDAHO,0012-04-14,1
ILLINOIS,0012-03-20,
INDIANA,0012-05-08,
IOWA,0012-01-03,
KANSAS,0012-03-10,0
KANSAS,0012-04-14,1
KENTUCKY,0012-05-22,
MAINE,0012-02-04,0
MAINE,0012-02-26,1
MARYLAND,0012-04-03,
MASSACHUSETTS,0012-03-06,
MICHIGAN,0012-02-28,
MINNESOTA,0012-02-07,0
MINNESOTA,0012-03-06,1
MISSISSIPPI,0012-03-13,
MISSOURI,0012-02-07,0
MISSOURI,0012-03-17,1
MONTANA,0012-06-05,
NEBRASKA,0012-04-14,0
NEBRASKA,0012-05-15,1
NEVADA,0012-01-21,1
NEVADA,0012-02-04,0
NEW HAMPSHIRE,0012-01-10,
NEW JERSEY,0012-06-05,
NEW MEXICO,0012-06-05,
NEW YORK,0012-04-24,
NORTH CAROLINA,0012-05-08,
NORTH DAKOTA,0012-03-06,0
NORTH DAKOTA,0012-06-05,1
OHIO,0012-03-06,
OKLAHOMA,0012-03-06,
OREGON,0012-05-15,
PENNSYLVANIA,0012-04-24,
RHODE ISLAND,0012-04-24,
SOUTH CAROLINA,0012-01-21,0
SOUTH CAROLINA,0012-01-28,1
SOUTH DAKOTA,0012-06-05,
TENNESSEE,0012-03-06,
TEXAS,0012-03-06,
UTAH,0012-03-13,1
UTAH,0012-06-26,0
VERMONT,0012-03-06,
VIRGINIA,0012-03-06,
WASHINGTON,0012-03-03,0
WASHINGTON,0012-04-15,1
WEST VIRGINIA,0012-05-08,
WISCONSIN,0012-04-03,
WYOMING,0012-03-06,0
WYOMING,0012-04-14,1
