state,primary_date
ALABAMA,0016-03-01
ALASKA,0016-08-16
ARIZONA,0016-08-30
ARKANSAS,0016-03-01
CALIFORNIA,0016-06-07
COLORADO,0016-06-28
CONNECTICUT,0016-08-09
DELAWARE,0016-09-13
FLORIDA,0016-08-30
GEORGIA,0016-05-24
HAWAII,0016-08-13
IDAHO,0016-05-17
ILLINOIS,0016-03-15
INDIANA,0016-05-03
IOWA,0016-06-07
KANSAS,0016-08-02
KENTUCKY,0016-05-17
MAINE,0016-06-14
MARYLAND,0016-04-26
MASSACHUSETTS,0016-11-08
MICHIGAN,0016-08-02
MINNESOTA,0016-08-09
MISSISSIPPI,0016-03-08
MISSOURI,0016-08-02
MONTANA,0016-06-07
NEBRASKA,0016-05-10
NEVADA,0016-06-14
NEW HAMPSHIRE,0016-09-13
NEW JERSEY,0016-06-07
NEW MEXICO,0016-06-07
NEW YORK,0016-11-13
NORTH CAROLINA,0016-03-15
NORTH DAKOTA,0016-06-14
OHIO,0016-03-15
OKLAHOMA,0016-06-28
OREGON,0016-05-17
PENNSYLVANIA,0016-04-26
RHODE ISLAND,0016-11-13
SOUTH CAROLINA,0016-06-14
SOUTH DAKOTA,0016-06-07
TENNESSEE,0016-08-04
TEXAS,0016-03-01
UTAH,0016-06-28
VERMONT,0016-08-09
VIRGINIA,0016-06-14
WASHINGTON,0016-08-02
WEST VIRGINIA,0016-05-10
WISCONSIN,0016-08-09
WYOMING,0016-08-16
